anfangen;aanvangen
anziehen;aantrekken
Asyl beantragen;asiel aanvragen
auftreiben;opjagen
ausgefallen;apart/origineel
auswandern;emigreren
basteln;knutselen
befristed;met een vaste termijn
beginnen;beginnen
beißen;bijten
biegen;buigen
bieten;bieden
bitten;bijten
blass;bleek
bleiben;blijven
brechen;breken
brennen;branden
bringen;brengen
damalig;toenmalig
damit bin ich einverstanden;daarmee ben ik akkoord
dem stimme ich zu;ik ben het ermee eens
denken;denken
drohen;dreigen
dürfen;mogen
ein Termin einhalten;
ein Termin verschieben;een afspraak verplaatsen
einwandern;immigreren
elektrifizieren;elektrificeren
erklären;verklaren
erleiden;ondergaan/(nederlaag/pijn) lijden
es geht um ...;het gaat over ...
es kommt drauf an;het komt erop aan
essen;eten
etwas gründen;iets oprichten
etwas vor haben;een plan hebben
fahren;rijden
fallen;vallen
fangen;vangen
finden;vinden
fliegen;vliegen
folgen;volgen
frieren;vriezen
geben;geven
gefallen;bevallen (iets goed vinden)
gegebenenfalls;zo nodig/eventueel
gehen;gaan
gehetzt;gejaagd
gelingen;(in iets) slagen / lukken
genießen;genieten
geraten;geraken/terecht komen
geschehen;gebeuren
ggf.;gegebenenfalls
gießen;gieten
greifen;grijpen
haben;hebben
halten;stoppen
hängen;hangen
hässlich;lelijk
helfen;helpen
im Uhrzeigersinn;met de wijzers van de klok mee
jeweils;telkens/steeds/op een gegeven ogenblik
kennen;kennen
kommen;komen
kompliziert;ingewikkeld
können;kunnen
kündigen;opzeggen/ontslaan
künftig;toekomstig/in het vervolg
laden;laden
lassen;laten
laufen;lopen
ledig;ongehuwd
lernen;leren (niet aan de universiteit)
lesen;lezen
liegen;liggen
lügen;liegen
mahlen;malen
malen;schilderen
mögen;lusten / willen / graag hebben
müssen;moeten
nehmen;nemen
nennen;noemen (ww)
pinkeln;plassen
prägen;indrukken/karakteriseren
rechtzeitig;op tijd
rennen;rennen
riechen;ruiken
rufen;roepen
scheinen;schijnen
schlafen;slapen
schlagen;slaan
schließen;sluiten
schneiden;snijden
schrecken;schrikken
schreiben;schrijven
schweigen;zwijgen
schwimmen;zwemmen
sehen;zien
sein;zijn
sich vorsorgen;zich indekken/voorzieningen treffen
singen;zingen
sitzen;zitten
sollen;zullen/moeten (hoort te zijn)
spießen;spietsen/opprikken
sprechen;spreken
sprechen über das für und gegen;over pro en contra spreken
springen;springen
stechen;steken
stehen;staan
steigen;stijgen
sterben;sterven
stoßen;stoten
studieren;studeren (aan de universiteit)
Termine vereinbaren;afspraken vastleggen
tragen;dragen
treffen;ontmoeten
treten;stappen
trinken;drinken
tun;doen
umsonst;gratis/tevergeefs
umziehen;verhuizen
unbefristed;van onbepaalde duur
unbekümmert;zorgeloos/onbekommerd
verabreden;afspreken
vergessen;vergeten
verheiratet;getrouwd
verlieren;verliezen
verschwinden;verdwijnen
verwandeln;van gedaante veranderen
verwitwet;weduwe/weduwenaar (adj)
wählen;kiezen
wann?;wanneer?
waschen;wassen
was halten Sie von ...;wat denkt u van ...
was?;wat?
werden;worden
werfen;werpen
wer?;wie?
wissen;weten
woher?;van waar?
wollen;willen
wo?;waar?
zeitraubend;tijdrovend
ziehen;trekken
Ich bin von Beruf...;Mijn beroep is...
aufstehen;opstaan
an Besprechungen teilnehmen;aan besprekingen deelnemen
Konzepte entwickeln;concepten ontwikkelen
Ideen sammeln;ideeën verzamelen
an einer Diplomarbeit schreiben;een thesis schrijven
Im Internet surfen;op het internet surfen
sich mit Freunden treffen;vrienden ontmoeten
pünktlich;stipt op tijd
Eine Arbeit rechtzeitig abgeben;een taak op tijd afgeven
Alles läuft nach Plan;alles loopt naar plan
Verspätung haben;vertraging hebben
Am beliebtesten sind ...;de meest geliefde zijn ...
die Dauerausstellung;de permanente tentoonstelling
die Sonderausstellung;de tijdelijke tentoonstelling
eine Ausstellung findet statt;een tentoonstelling vindt plaats
ein Künstler präsentiert seine Bilder;een kunstenaar stelt zijn beelden ten toon
Das Bild regt meine Fantasie an;Het beeld prikkelt mijn fantasie
In dem Bild steckt viel Ruhe;in dat beeld zit veel rust
künstlerische Freiheit;artistieke vrijheid
Der Künstlername;de artiestennaam
applaudieren;applaudiseren
großen Beifall haben;veel bijval hebben
In meiner Freizeit lese ich gern;In mijn vrije tijd lees ik graag.
Der Wenigleser;iemand die weinig leest
Der Normalleser;iemand die regelmatig leest
Bücher verschlingen;boeken verslinden
Bücher ausleihen;boeken lenen
Bücher verschenken;boeken cadeau doen
Bücher auswählen;boeken kiezen
ein geschichtliches Ereignis;een historische gebeurtenis
eine große Rolle spielen;een grote rol spelen
es vollzogen sich ...;er voltrokken zich...
stattfinden;plaatsvinden
am Computer arbeiten;op de computer werken
den PC ein-/ausschalten;de PC aan-/uit-zetten
der Computer ist abgestürzt;de computer is gecrashed
der Text am Bildschirm lesen;de tekst op de monitor lezen
auf etwas (Akk.) klicken;op iets klikken
etwas anklicken;iets aanklikken
Virusschutzprogramm;het anti-virusprogramma
EDV;Elektronische Datenverarbeitung (Abk.)
Daten eingeben;data ingeven
Daten speicheren;bestanden opslaan
Daten löschen;bestanden verwijderen
Daten kopieren;bestanden kopiëren
Daten ausschneiden und einfügen;bestanden knippen en plakken
Daten abrufen;bestanden opvragen
Daten schützen;bestanden beschermen
Vor PC-Viren warnen;voor PC-virussen waarschuwen
ins Internet gehen;op het internet gaan
im Internet surfen;op het internet surfen
aus dem Internet herunterladen;van het Internet downloaden
eine Mail senden;een email sturen
eine Mail erhalten;een email krijgen
eine Mail lesen;een email lezen
eine Mail weiterleiten;een email forwarden
eine Mail beantworten;een email beantwoorden
eine Mail löschen;een email verwijderen
Spam-Mail;spam-mail
der Akku meines Handys ist leer/voll;de batterij van mijn GSM is leeg/vol
eine Nachricht abfragen;een bericht opvragen
ich kann nicht auf mein Handy verzichten;ik kan geen afstand doen van mijn GSM
simsen;een SMS sturen
ich sehe täglich fern;ik kijk elke dag TV
zappen;zappen
leiser stellen;stiller zetten
lauter stellen;luider zetten
lustige Sendungen;leuke programma's
seriöse Sendungen;serieuze programma's
am liebsten Filme sehen;het liefste films zien
es gibt eienen Spielfilm im Fernsehen;er is een film op TV
ich sehe mir den Film an;ik kijk naar de film
wovon handelt der Film?;waarover gaat de film?
die Szene handelt von einem Mörder;de scene gaat over een moordenaar
das Fernsehprogramm;het TV-programma
die Nachrichten;de berichten
die Sportsendung;de sportuitzending
Der Dokumentarfilm;de documentaire
Der Naturfilm;de natuurfilm
Die Talkshow;de talkshow
Der Zeichentrickfilm;de tekenfilm
Die Sendezeit;de zendtijd
Filme werden synchronisiert;films worden ondertitelt
Der Marktanteil;het marktaandeel
Die Sehgewohnigkeiten;de kijkgewoontes
